test,time,status
lucas/ltlf/seek_9.ltlf,172.764,1
lucas/ltlf/seek_8.ltlf,119.07,1
lucas/ltlf/coins_7.ltlf,560.741,1
lucas/ltlf/seek_5.ltlf,71.2332,1
lucas/ltlf/coins_6.ltlf,258.29,1
lucas/ltlf/coins_3.ltlf,43.9219,1
lucas/ltlf/seek_10.ltlf,246.666,1
lucas/ltlf/seek_7.ltlf,78.4308,1
lucas/ltlf/seek_4.ltlf,21.3548,1
lucas/ltlf/coins_5.ltlf,137.04,1
lucas/ltlf/seek_6.ltlf,51.936,1
lucas/ltlf/seek_3.ltlf,14.5785,1
lucas/ltlf/coins_8.ltlf,1583.1,1
lucas/ltlf/coins_9.ltlf,0.0,-1
lucas/ltlf/seek_2.ltlf,16.0926,1
lucas/ltlf/coins_4.ltlf,77.4253,1
lucas/ltlf/coins_10.ltlf,0.0,-1
lucas/ltlf2/coins_3.christian.ltlf,44.1079,1
lucas/ltlf2/coins_3.ltlf,45.1321,1
